user	item	rating
5988	76770	1
5988	65040	1
5988	71261	1
5988	68949	1
5988	1950	1
5988	39052	1
5988	5371	1
5988	69162	1
5988	63126	1
5988	2058	1
5988	15011	1
5988	46563	1
5988	76744	1
5989	24228	1
5989	27423	1
5989	1481	1
5989	24249	1
5989	81201	1
5989	73498	1
5989	32321	1
5989	16338	1
5989	24290	1
5989	11486	1
5989	24314	1
5989	57951	1
5989	11502	1
5989	14793	1
5989	24340	1
5989	8096	1
5989	47003	1
5989	13207	1
5989	6435	1
5989	2646	1
5989	19745	1
5989	47044	1
5989	58012	1
5989	64063	1
5989	28347	1
5989	58061	1
5989	58064	1
5989	24440	1
5989	16514	1
5989	64121	1
5989	29115	1
5989	58097	1
5989	5036	1
5989	37065	1
5989	43783	1
5989	14977	1
5989	24539	1
5989	26159	1
5989	56580	1
5989	60545	1
5989	3407	1
5989	81809	1
5989	1035	1
5989	75205	1
5989	5181	1
5989	26229	1
5989	75228	1
5989	75237	1
5989	75257	1
5989	70641	1
5989	75266	1
5989	75268	1
5989	59808	1
5989	75284	1
5989	72287	1
5989	81659	1
5989	24718	1
5989	76949	1
5989	16856	1
5989	73892	1
5989	40872	1
5989	20234	1
5989	3700	1
5989	20245	1
5989	81781	1
5989	42669	1
5989	11978	1
5989	59984	1
5989	47460	1
5989	50714	1
5989	5422	1
5989	75951	1
5989	27746	1
5989	77136	1
5989	43379	1
5989	70674	1
5989	26483	1
5989	65079	1
5989	74737	1
5989	17112	1
5989	77389	1
5989	26979	1
5989	1605	1
5989	29686	1
5989	66239	1
5989	24380	1
5989	41159	1
5989	34850	1
5989	18800	1
5989	60245	1
5989	70647	1
5989	78848	1
5989	18826	1
5989	8841	1
5989	43001	1
5989	13988	1
5989	4082	1
5989	41329	1
5989	54617	1
5989	7300	1
5989	29905	1
5989	23577	1
5989	33337	1
5989	1673	1
5989	68107	1
5989	75850	1
5989	55700	1
5989	4622	1
5989	4154	1
5989	64937	1
5989	69280	1
5989	77547	1
5989	52788	1
5989	25252	1
5989	51228	1
5989	77599	1
5989	37643	1
5989	79105	1
5989	51248	1
5989	51256	1
5989	46380	1
5989	48046	1
5989	33552	1
5989	78283	1
5989	49702	1
5989	46530	1
5989	63468	1
5989	4311	1
5989	35234	1
5989	2718	1
5989	4344	1
5989	77481	1
5989	17416	1
5989	48145	1
5989	41659	1
5989	68878	1
5989	46513	1
5989	27065	1
5989	68617	1
5989	66755	1
5989	79264	1
5989	27139	1
5989	4508	1
5989	43439	1
5989	4484	1
5989	37011	1
5989	4538	1
5989	79321	1
5989	33776	1
5989	45114	1
5989	11222	1
5989	80947	1
5989	44126	1
5989	46701	1
5989	80965	1
5989	66922	1
5989	77959	1
5989	68566	1
5989	66941	1
5989	24273	1
5989	67413	1
5989	54621	1
5989	53185	1
5989	68610	1
5989	68613	1
5989	3005	1
5989	68639	1
5989	32217	1
5989	48553	1
5989	46615	1
5989	7948	1
5989	75259	1
5989	51702	1
5989	32242	1
5989	14156	1
5989	6346	1
5982	57885	1
5982	28690	1
5982	9059	1
5982	62413	1
5982	27144	1
5982	78624	1
5982	1959	1
5982	29060	1
5982	34374	1
5982	66346	1
5982	80717	1
5982	25329	1
5982	15309	1
5983	30892	1
5983	24886	1
5983	23782	1
5983	52825	1
5980	44249	1
5980	62416	1
5980	14394	1
5980	38757	1
5980	62434	1
5980	73521	1
5980	62454	1
5980	19712	1
5980	78228	1
5980	61069	1
5980	27599	1
5980	21504	1
5980	50385	1
5980	45529	1
5980	76744	1
5980	26143	1
5980	40434	1
5980	18313	1
5980	18327	1
5980	72709	1
5980	69028	1
5980	10155	1
5980	10183	1
5980	78173	1
5980	36141	1
5980	42619	1
5980	44265	1
5980	44267	1
5980	42464	1
5980	32954	1
5980	53778	1
5980	60036	1
5980	65322	1
5980	24886	1
5980	5440	1
5980	33019	1
5980	43047	1
5980	5456	1
5980	34690	1
5980	72510	1
5980	44401	1
5980	53892	1
5980	26508	1
5980	78750	1
5980	3896	1
5980	31361	1
5980	61567	1
5980	47588	1
5980	45963	1
5980	53952	1
5980	31405	1
5980	42895	1
5980	63145	1
5980	36489	1
5980	61627	1
5980	42952	1
5980	4003	1
5980	72699	1
5980	4023	1
5980	38053	1
5980	72722	1
5980	79741	1
5980	7624	1
5980	4136	1
5980	9067	1
5980	23734	1
5980	65020	1
5980	79130	1
5980	23805	1
5980	1091	1
5980	1102	1
5980	63521	1
5980	63533	1
5980	22399	1
5980	38375	1
5980	27071	1
5980	25488	1
5980	25496	1
5980	71594	1
5980	23920	1
5980	65207	1
5980	12577	1
5980	71592	1
5980	43521	1
5980	46692	1
5980	62238	1
5980	17865	1
5980	56233	1
5980	17932	1
5980	14618	1
5980	52990	1
5981	56708	1
5981	70300	1
5981	5271	1
5981	32642	1
5981	57473	1
5981	40905	1
5981	25963	1
5981	7335	1
5981	35821	1
5981	29078	1
5981	34159	1
5981	33384	1
5981	49118	1
5981	14920	1
5981	2147	1
5981	19907	1
5981	30876	1
5981	12540	1
5981	2234	1
5981	45905	1
5981	39814	1
5981	4747	1
5981	35585	1
5981	66559	1
5981	14594	1
5981	38255	1
5981	30096	1
5981	15087	1
5981	21944	1
5981	1890	1
5986	10764	1
5986	67141	1
5987	66542	1
5987	54260	1
